,,top,mid_L_top,mid_R_top,mid_L_bot,mid_R_bot,bot_L,bot_R,"
"
vid_38_frame_352_0.jpg,N/A,"[22, 3]","[14, 22]","[30, 20]","[11, 38]","[34, 37]","[10, 57]","[40, 54]",
vid_37_frame_767_3.jpg,N/A,"[22, 2]","[15, 21]","[33, 19]","[13, 38]","[37, 38]","[11, 57]","[42, 55]",
vid_38_frame_296_1.jpg,N/A,"[22, 4]","[14, 20]","[28, 21]","[12, 32]","[30, 32]","[7, 46]","[34, 49]",
vid_37_frame_741_2.jpg,N/A,"[15, 3]","[9, 22]","[26, 20]","[8, 38]","[31, 35]","[8, 56]","[36, 53]",
vid_38_frame_317_2.jpg,N/A,"[24, 1]","[16, 17]","[29, 17]","[13, 27]","[30, 28]","[8, 41]","[33, 42]",
vid_38_frame_328_0.jpg,N/A,"[20, 1]","[13, 17]","[26, 16]","[12, 31]","[29, 30]","[9, 47]","[33, 46]",
vid_38_frame_272_2.jpg,N/A,"[19, 3]","[11, 22]","[29, 22]","[9, 40]","[34, 39]","[7, 61]","[36, 58]",
vid_37_frame_747_4.jpg,N/A,"[30, 4]","[19, 19]","[35, 21]","[15, 31]","[37, 33]","[10, 46]","[38, 50]",
vid_37_frame_747_5.jpg,N/A,"[12, 5]","[8, 14]","[15, 14]","[6, 22]","[16, 23]","[4, 31]","[18, 32]",
vid_38_frame_337_6.jpg,N/A,"[11, 2]","[7, 11]","[15, 11]","[5, 17]","[16, 17]","[4, 25]","[19, 26]",
vid_38_frame_112_2.jpg,N/A,"[34, 5]","[23, 21]","[38, 23]","[18, 36]","[39, 39]","[11, 51]","[40, 55]",
vid_38_frame_191_4.jpg,N/A,"[38, 5]","[23, 27]","[45, 29]","[16, 46]","[46, 50]","[7, 67]","[50, 73]",
vid_38_frame_136_3.jpg,N/A,"[20, 4]","[13, 19]","[26, 19]","[11, 29]","[27, 31]","[6, 43]","[32, 46]",
vid_38_frame_155_0.jpg,N/A,"[22, 5]","[15, 24]","[32, 23]","[13, 39]","[36, 38]","[10, 57]","[40, 55]",
vid_38_frame_328_1.jpg,N/A,"[31, 3]","[20, 22]","[37, 23]","[15, 38]","[38, 39]","[8, 55]","[41, 58]",
vid_38_frame_331_0.jpg,N/A,"[40, 3]","[26, 27]","[48, 29]","[20, 47]","[49, 49]","[12, 67]","[52, 72]",
vid_38_frame_177_3.jpg,N/A,"[11, 2]","[5, 17]","[20, 16]","[3, 32]","[24, 31]","[2, 49]","[27, 46]",
vid_37_frame_579_6.jpg,N/A,"[12, 0]","[6, 14]","[20, 12]","[5, 26]","[23, 25]","[4, 40]","[26, 39]",
vid_38_frame_335_0.jpg,N/A,"[39, 3]","[27, 24]","[46, 26]","[22, 41]","[48, 43]","[18, 57]","[50, 61]",
vid_37_frame_726_0.jpg,N/A,"[49, 5]","[32, 31]","[57, 36]","[25, 52]","[57, 56]","[15, 75]","[60, 83]",
vid_37_frame_681_2.jpg,N/A,"[35, 2]","[23, 27]","[44, 28]","[17, 48]","[48, 50]","[12, 73]","[50, 74]",
vid_38_frame_337_2.jpg,N/A,"[18, 2]","[13, 20]","[27, 18]","[11, 35]","[32, 33]","[9, 51]","[37, 49]",
vid_37_frame_747_1.jpg,N/A,"[24, 3]","[17, 23]","[33, 22]","[15, 40]","[37, 38]","[13, 57]","[42, 55]",
vid_37_frame_747_0.jpg,N/A,"[46, 5]","[32, 31]","[54, 34]","[25, 53]","[56, 55]","[16, 75]","[59, 83]",
vid_37_frame_700_2.jpg,N/A,"[50, 4]","[37, 31]","[58, 34]","[32, 52]","[61, 56]","[23, 78]","[66, 82]",
vid_37_frame_580_3.jpg,N/A,"[22, 2]","[15, 23]","[32, 21]","[13, 42]","[38, 39]","[11, 62]","[45, 59]",
vid_37_frame_698_0.jpg,N/A,"[19, 2]","[12, 21]","[29, 20]","[10, 39]","[33, 36]","[9, 58]","[38, 55]",
vid_37_frame_741_4.jpg,N/A,"[21, 1]","[11, 20]","[30, 20]","[7, 36]","[31, 36]","[4, 55]","[34, 56]",
vid_38_frame_175_2.jpg,N/A,"[24, 6]","[18, 22]","[32, 21]","[16, 35]","[35, 33]","[13, 50]","[38, 49]",
vid_38_frame_289_2.jpg,N/A,"[21, 2]","[14, 23]","[31, 21]","[12, 40]","[37, 37]","[13, 60]","[42, 57]",
vid_38_frame_333_5.jpg,N/A,"[18, 2]","[10, 29]","[33, 26]","[8, 50]","[39, 46]","[9, 75]","[47, 69]",
vid_37_frame_700_0.jpg,N/A,"[25, 4]","[17, 28]","[36, 27]","[15, 50]","[42, 47]","[11, 73]","[50, 70]",
vid_38_frame_191_3.jpg,N/A,"[23, 2]","[15, 19]","[31, 19]","[13, 35]","[35, 33]","[12, 52]","[38, 49]",
vid_38_frame_337_1.jpg,N/A,"[26, 4]","[19, 20]","[32, 20]","[16, 32]","[33, 32]","[12, 46]","[38, 47]",
vid_37_frame_681_0.jpg,N/A,"[27, 2]","[18, 25]","[39, 22]","[17, 45]","[44, 42]","[15, 68]","[51, 64]",
vid_38_frame_335_2.jpg,N/A,"[28, 4]","[20, 27]","[40, 25]","[18, 45]","[45, 43]","[16, 65]","[51, 62]",
vid_38_frame_313_1.jpg,N/A,"[33, 7]","[24, 25]","[38, 26]","[20, 37]","[38, 39]","[14, 52]","[40, 55]",
vid_38_frame_289_3.jpg,N/A,"[16, 1]","[9, 18]","[26, 17]","[9, 33]","[31, 30]","[7, 49]","[37, 47]",
vid_37_frame_741_5.jpg,N/A,"[16, 3]","[10, 20]","[23, 20]","[9, 32]","[25, 31]","[4, 47]","[28, 46]",
vid_18_frame_2348_12.jpg,N/A,"[8, 2]","[5, 13]","[14, 12]","[5, 22]","[16, 20]","[6, 32]","[19, 29]",
vid_2_frame_22030_0.jpg,N/A,"[11, 4]","[9, 20]","[20, 18]","[10, 29]","[24, 28]","[10, 41]","[31, 38]",
vid_18_frame_2111_1.jpg,N/A,"[14, 3]","[8, 23]","[23, 19]","[7, 39]","[28, 35]","[6, 57]","[33, 50]",
vid_18_frame_2359_9.jpg,N/A,"[11, 5]","[7, 12]","[14, 12]","[6, 21]","[16, 22]","[3, 30]","[17, 30]",
vid_2_frame_22482_3.jpg,N/A,"[6, 1]","[4, 7]","[10, 7]","[4, 12]","[11, 12]","[3, 19]","[12, 18]",
vid_2_frame_37284_1.jpg,N/A,"[10, 1]","[6, 8]","[14, 9]","[5, 14]","[14, 15]","[3, 21]","[14, 22]",
vid_2_frame_12099_0.jpg,N/A,"[34, 1]","[24, 17]","[38, 18]","[18, 34]","[37, 35]","[11, 51]","[36, 55]",
vid_31_frame_2006_2.jpg,N/A,"[8, 1]","[4, 12]","[12, 11]","[4, 20]","[14, 19]","[3, 25]","[15, 24]",
vid_2_frame_27493_1.jpg,N/A,"[9, 2]","[6, 9]","[12, 9]","[5, 17]","[15, 15]","[5, 29]","[17, 27]",
vid_2_frame_34604_2.jpg,N/A,"[28, 1]","[18, 20]","[34, 21]","[16, 34]","[39, 36]","[9, 55]","[41, 63]",
vid_2_frame_37307_2.jpg,N/A,"[10, 4]","[6, 18]","[15, 16]","[6, 27]","[17, 26]","[3, 38]","[19, 37]",
vid_18_frame_2348_1.jpg,N/A,"[9, 1]","[6, 14]","[16, 13]","[5, 25]","[19, 23]","[5, 38]","[24, 34]",
vid_2_frame_5596_2.jpg,N/A,"[8, 2]","[4, 11]","[12, 11]","[3, 19]","[13, 18]","[3, 28]","[16, 27]",
vid_18_frame_1243_0.jpg,N/A,"[10, 1]","[5, 21]","[19, 19]","[6, 36]","[24, 32]","[5, 51]","[29, 48]",
vid_2_frame_25874_3.jpg,N/A,"[6, 1]","[4, 9]","[9, 9]","[3, 15]","[10, 15]","[2, 20]","[11, 20]",
vid_2_frame_38933_1.jpg,N/A,"[26, 0]","[15, 21]","[29, 21]","[12, 35]","[30, 37]","[6, 48]","[31, 50]",
vid_2_frame_26040_3.jpg,N/A,"[14, 0]","[9, 15]","[20, 14]","[8, 26]","[22, 24]","[5, 41]","[27, 38]",
vid_2_frame_9046_1.jpg,N/A,"[13, 2]","[8, 12]","[16, 12]","[7, 20]","[18, 20]","[5, 29]","[20, 29]",
vid_2_frame_36454_4.jpg,N/A,"[8, 1]","[5, 11]","[12, 11]","[3, 17]","[13, 17]","[2, 25]","[14, 25]",
vid_2_frame_35403_1.jpg,N/A,"[12, 6]","[9, 23]","[20, 21]","[10, 34]","[23, 33]","[10, 47]","[29, 44]",
vid_18_frame_2375_1.jpg,N/A,"[10, 0]","[5, 18]","[18, 15]","[5, 33]","[23, 29]","[5, 47]","[29, 44]",
vid_18_frame_2277_6.jpg,N/A,"[18, 7]","[12, 21]","[23, 21]","[10, 32]","[24, 33]","[6, 45]","[27, 46]",
vid_31_frame_1538_2.jpg,N/A,"[18, 1]","[11, 13]","[22, 14]","[7, 25]","[23, 25]","[6, 31]","[24, 32]",
vid_6_frame_22604_1.jpg,N/A,"[5, 2]","[2, 11]","[9, 10]","[2, 20]","[12, 18]","[2, 28]","[16, 26]",
vid_18_frame_2353_2.jpg,N/A,"[14, 3]","[10, 20]","[23, 18]","[11, 33]","[28, 30]","[9, 47]","[33, 42]",
vid_2_frame_2796_2.jpg,N/A,"[20, 3]","[17, 12]","[24, 12]","[15, 18]","[24, 18]","[11, 27]","[25, 27]",
vid_2_frame_39074_0.jpg,N/A,"[62, 3]","[41, 37]","[67, 44]","[29, 61]","[66, 72]","[19, 88]","[66, 103]",
vid_2_frame_36039_0.jpg,N/A,"[35, 1]","[26, 23]","[43, 25]","[22, 42]","[46, 44]","[17, 60]","[48, 64]",
vid_31_frame_2382_2.jpg,N/A,"[20, 0]","[14, 17]","[28, 16]","[11, 33]","[31, 31]","[11, 40]","[33, 37]",
vid_30_frame_1210_4.jpg,N/A,"[24, 2]","[13, 16]","[27, 19]","[8, 28]","[26, 33]","[2, 41]","[27, 48]",
vid_18_frame_2216_7.jpg,N/A,"[7, 2]","[5, 11]","[12, 10]","[5, 19]","[15, 18]","[5, 26]","[17, 24]",
vid_18_frame_1239_2.jpg,N/A,"[13, 4]","[9, 16]","[17, 15]","[8, 25]","[20, 25]","[8, 34]","[21, 33]",
vid_2_frame_25275_0.jpg,N/A,"[22, 3]","[15, 24]","[31, 23]","[15, 39]","[34, 36]","[13, 56]","[39, 52]",
vid_31_frame_1829_0.jpg,N/A,"[13, 0]","[8, 12]","[18, 12]","[6, 22]","[19, 23]","[6, 29]","[21, 29]",
vid_18_frame_2337_16.jpg,N/A,"[9, 1]","[7, 7]","[13, 6]","[6, 13]","[14, 13]","[5, 18]","[15, 18]",
vid_2_frame_2923_5.jpg,N/A,"[11, 4]","[7, 16]","[16, 16]","[6, 26]","[19, 26]","[4, 40]","[22, 40]",
vid_30_frame_1786_2.jpg,N/A,"[18, 1]","[11, 13]","[21, 13]","[9, 22]","[21, 23]","[5, 32]","[22, 33]",
vid_31_frame_1929_5.jpg,N/A,"[14, 4]","[7, 14]","[18, 15]","[5, 25]","[19, 25]","[5, 30]","[19, 30]",
vid_18_frame_2353_3.jpg,N/A,"[12, 2]","[8, 14]","[18, 14]","[7, 24]","[19, 24]","[4, 33]","[19, 33]",
vid_6_frame_22604_0.jpg,N/A,"[13, 0]","[8, 16]","[21, 12]","[8, 31]","[27, 28]","[8, 45]","[33, 41]",
vid_18_frame_2277_7.jpg,N/A,"[15, 2]","[10, 13]","[18, 13]","[8, 22]","[19, 22]","[6, 32]","[20, 32]",
vid_18_frame_2375_0.jpg,N/A,"[15, 3]","[11, 29]","[31, 24]","[11, 51]","[40, 44]","[14, 76]","[50, 63]",
vid_5_frame_1360_1.jpg,N/A,"[17, 2]","[11, 21]","[25, 20]","[9, 38]","[29, 35]","[7, 51]","[35, 49]",
vid_31_frame_2346_7.jpg,N/A,"[13, 1]","[8, 10]","[17, 11]","[5, 19]","[16, 21]","[3, 23]","[16, 25]",
vid_18_frame_2094_5.jpg,N/A,"[6, 1]","[3, 6]","[12, 5]","[3, 15]","[13, 14]","[3, 22]","[16, 21]",
vid_2_frame_9046_0.jpg,N/A,"[43, 4]","[28, 27]","[49, 32]","[19, 46]","[47, 54]","[10, 67]","[46, 76]",
vid_18_frame_2348_0.jpg,N/A,"[11, 2]","[6, 22]","[22, 19]","[7, 41]","[29, 36]","[7, 61]","[37, 54]",
vid_2_frame_20552_0.jpg,N/A,"[10, 1]","[7, 11]","[14, 11]","[6, 18]","[16, 18]","[4, 26]","[16, 26]",
vid_2_frame_34604_3.jpg,N/A,"[10, 2]","[7, 9]","[14, 9]","[6, 16]","[14, 16]","[5, 22]","[17, 22]",
vid_2_frame_1815_4.jpg,N/A,"[14, 2]","[9, 12]","[17, 12]","[8, 19]","[18, 20]","[5, 33]","[22, 31]",
vid_18_frame_2210_0.jpg,N/A,"[10, 1]","[7, 17]","[19, 15]","[8, 31]","[23, 28]","[8, 46]","[28, 41]",
vid_2_frame_4303_6.jpg,N/A,"[9, 3]","[6, 8]","[11, 8]","[5, 13]","[12, 13]","[4, 19]","[13, 19]",
vid_2_frame_12099_1.jpg,N/A,"[19, 3]","[14, 16]","[26, 15]","[13, 25]","[28, 24]","[11, 36]","[29, 35]",
vid_2_frame_37284_0.jpg,N/A,"[23, 0]","[16, 34]","[37, 28]","[15, 58]","[44, 53]","[11, 86]","[51, 71]",
vid_30_frame_1230_0.jpg,N/A,"[17, 2]","[10, 19]","[21, 19]","[8, 30]","[24, 31]","[5, 45]","[26, 45]",
vid_31_frame_2342_3.jpg,N/A,"[21, 2]","[12, 14]","[24, 16]","[8, 26]","[24, 29]","[6, 32]","[23, 36]",
vid_2_frame_22030_1.jpg,N/A,"[49, 5]","[34, 39]","[64, 45]","[24, 68]","[64, 77]","[17, 93]","[70, 110]",
vid_2_frame_36323_2.jpg,N/A,"[13, 1]","[9, 11]","[18, 11]","[7, 20]","[18, 20]","[5, 29]","[19, 29]",
vid_2_frame_22482_0.jpg,N/A,"[9, 2]","[6, 18]","[17, 16]","[6, 29]","[20, 26]","[5, 43]","[26, 38]",
vid_18_frame_2035_6.jpg,N/A,"[12, 1]","[9, 13]","[18, 12]","[8, 23]","[21, 22]","[7, 33]","[24, 31]",
vid_3_frame_22114_1.jpg,N/A,"[12, 2]","[7, 17]","[20, 16]","[6, 30]","[23, 28]","[6, 45]","[28, 42]",
vid_2_frame_38808_1.jpg,N/A,"[12, 3]","[8, 19]","[19, 16]","[9, 28]","[22, 26]","[9, 39]","[28, 36]",
vid_31_frame_2377_8.jpg,N/A,"[13, 3]","[8, 14]","[17, 14]","[7, 22]","[18, 23]","[5, 27]","[19, 27]",
vid_3_frame_22233_2.jpg,N/A,"[14, 1]","[10, 16]","[21, 15]","[9, 29]","[25, 28]","[8, 44]","[29, 42]",
vid_18_frame_2210_2.jpg,N/A,"[11, 7]","[8, 17]","[16, 16]","[8, 25]","[20, 24]","[8, 33]","[22, 31]",
vid_2_frame_12099_3.jpg,N/A,"[6, 1]","[3, 5]","[8, 5]","[2, 12]","[9, 12]","[0, 18]","[9, 19]",
vid_2_frame_35479_0.jpg,N/A,"[33, 4]","[20, 31]","[43, 36]","[16, 54]","[45, 62]","[12, 79]","[48, 84]",
vid_18_frame_1243_3.jpg,N/A,"[5, 2]","[2, 12]","[11, 10]","[2, 23]","[15, 20]","[3, 33]","[18, 30]",
vid_18_frame_2348_2.jpg,N/A,"[14, 1]","[9, 15]","[20, 15]","[7, 27]","[23, 27]","[6, 39]","[25, 39]",
vid_2_frame_5596_1.jpg,N/A,"[10, 4]","[6, 19]","[18, 17]","[6, 30]","[21, 28]","[5, 43]","[26, 40]",
vid_2_frame_25874_0.jpg,N/A,"[10, 1]","[6, 11]","[14, 11]","[5, 18]","[16, 18]","[4, 26]","[17, 24]",
vid_2_frame_9046_2.jpg,N/A,"[10, 0]","[6, 13]","[15, 13]","[6, 23]","[18, 23]","[4, 33]","[20, 32]",
vid_18_frame_1298_0.jpg,N/A,"[11, 3]","[7, 18]","[19, 16]","[7, 31]","[22, 26]","[7, 42]","[27, 38]",
vid_2_frame_26040_0.jpg,N/A,"[26, 2]","[18, 33]","[42, 28]","[18, 60]","[50, 50]","[18, 84]","[57, 70]",
vid_30_frame_1176_0.jpg,N/A,"[18, 2]","[10, 20]","[24, 19]","[8, 34]","[27, 33]","[6, 47]","[28, 48]",
vid_2_frame_38933_2.jpg,N/A,"[12, 0]","[7, 11]","[17, 11]","[6, 19]","[19, 19]","[3, 27]","[21, 28]",
vid_18_frame_2052_1.jpg,N/A,"[14, 3]","[8, 24]","[25, 21]","[8, 44]","[30, 39]","[7, 66]","[38, 58]",
vid_2_frame_39353_0.jpg,N/A,"[18, 7]","[12, 18]","[23, 18]","[11, 29]","[25, 28]","[11, 45]","[28, 44]",
vid_2_frame_9790_4.jpg,N/A,"[6, 1]","[4, 9]","[12, 9]","[4, 17]","[14, 17]","[3, 27]","[17, 26]",
vid_6_frame_22604_2.jpg,N/A,"[7, 1]","[5, 14]","[13, 11]","[5, 23]","[17, 21]","[5, 34]","[22, 31]",
vid_18_frame_2353_1.jpg,N/A,"[20, 3]","[13, 20]","[27, 20]","[10, 35]","[29, 36]","[7, 49]","[32, 51]",
vid_2_frame_16584_1.jpg,N/A,"[12, 4]","[9, 21]","[21, 19]","[9, 33]","[27, 30]","[11, 48]","[33, 44]",
vid_18_frame_2375_2.jpg,N/A,"[8, 1]","[6, 13]","[15, 11]","[5, 23]","[18, 21]","[5, 33]","[22, 31]",
vid_18_frame_2362_15.jpg,N/A,"[10, 1]","[7, 10]","[14, 10]","[6, 17]","[15, 17]","[5, 22]","[16, 23]",
vid_2_frame_2363_0.jpg,N/A,"[16, 1]","[12, 14]","[22, 14]","[11, 25]","[24, 25]","[8, 35]","[27, 35]",
vid_31_frame_2102_1.jpg,N/A,"[20, 0]","[13, 13]","[28, 13]","[11, 25]","[30, 24]","[9, 31]","[31, 31]",
vid_2_frame_2363_1.jpg,N/A,"[26, 2]","[17, 16]","[29, 17]","[14, 29]","[30, 30]","[8, 42]","[30, 46]",
vid_2_frame_25275_2.jpg,N/A,"[14, 1]","[9, 14]","[19, 13]","[8, 22]","[20, 23]","[6, 32]","[22, 33]",
vid_18_frame_2216_5.jpg,N/A,"[9, 2]","[6, 11]","[14, 10]","[6, 18]","[15, 18]","[5, 26]","[18, 25]",
vid_2_frame_8690_0.jpg,N/A,"[28, 1]","[20, 25]","[39, 23]","[18, 44]","[44, 41]","[14, 64]","[49, 57]",
vid_31_frame_1910_2.jpg,N/A,"[10, 1]","[5, 12]","[13, 12]","[4, 21]","[15, 21]","[2, 25]","[16, 27]",
vid_18_frame_2033_1.jpg,N/A,"[10, 2]","[8, 13]","[16, 12]","[7, 22]","[18, 21]","[5, 34]","[21, 33]",
vid_2_frame_36039_2.jpg,N/A,"[28, 3]","[21, 36]","[43, 31]","[23, 62]","[53, 52]","[17, 88]","[63, 78]",
vid_2_frame_39074_2.jpg,N/A,"[20, 2]","[14, 17]","[25, 18]","[11, 30]","[26, 31]","[7, 43]","[27, 45]",
vid_2_frame_2796_0.jpg,N/A,"[15, 3]","[10, 11]","[18, 11]","[8, 19]","[19, 19]","[4, 29]","[19, 28]",
vid_18_frame_2353_0.jpg,N/A,"[14, 6]","[11, 36]","[32, 31]","[12, 59]","[42, 52]","[13, 81]","[53, 68]",
vid_18_frame_2277_4.jpg,N/A,"[34, 3]","[23, 24]","[39, 26]","[18, 42]","[40, 44]","[10, 60]","[42, 64]",
vid_2_frame_16584_0.jpg,N/A,"[16, 6]","[14, 18]","[25, 17]","[14, 29]","[30, 29]","[12, 43]","[34, 43]",
vid_2_frame_39353_1.jpg,N/A,"[14, 6]","[9, 19]","[18, 20]","[7, 31]","[20, 32]","[4, 44]","[22, 45]",
vid_2_frame_26040_1.jpg,N/A,"[17, 0]","[10, 17]","[24, 17]","[9, 29]","[26, 29]","[7, 43]","[28, 44]",
vid_2_frame_36454_6.jpg,N/A,"[13, 1]","[9, 10]","[18, 10]","[8, 19]","[19, 19]","[7, 29]","[24, 29]",
vid_2_frame_9046_3.jpg,N/A,"[9, 0]","[6, 8]","[13, 8]","[5, 15]","[14, 15]","[4, 22]","[16, 22]",
vid_31_frame_1622_3.jpg,N/A,"[11, 1]","[8, 12]","[16, 12]","[7, 22]","[19, 22]","[5, 27]","[20, 26]",
vid_2_frame_21359_5.jpg,N/A,"[12, 8]","[8, 18]","[17, 18]","[8, 26]","[18, 26]","[5, 36]","[21, 36]",
vid_31_frame_1830_2.jpg,N/A,"[9, 2]","[6, 10]","[13, 10]","[5, 18]","[15, 18]","[4, 23]","[16, 22]",
vid_2_frame_25874_1.jpg,N/A,"[36, 2]","[22, 28]","[44, 34]","[15, 53]","[46, 59]","[9, 75]","[49, 83]",
vid_31_frame_2383_11.jpg,N/A,"[11, 5]","[7, 13]","[15, 13]","[7, 20]","[17, 20]","[6, 25]","[17, 24]",
vid_2_frame_5596_0.jpg,N/A,"[21, 5]","[14, 22]","[26, 23]","[11, 36]","[29, 37]","[9, 49]","[33, 51]",
vid_2_frame_37307_0.jpg,N/A,"[9, 5]","[5, 16]","[12, 16]","[5, 22]","[15, 23]","[3, 31]","[17, 31]",
vid_18_frame_2348_3.jpg,N/A,"[14, 4]","[11, 11]","[18, 11]","[10, 20]","[20, 19]","[9, 29]","[21, 28]",
vid_18_frame_2358_15.jpg,N/A,"[9, 0]","[6, 8]","[12, 8]","[5, 15]","[13, 15]","[3, 21]","[14, 21]",
vid_2_frame_35479_1.jpg,N/A,"[22, 3]","[17, 31]","[38, 26]","[15, 55]","[44, 47]","[12, 84]","[52, 72]",
vid_2_frame_12099_2.jpg,N/A,"[10, 2]","[5, 12]","[13, 12]","[3, 20]","[13, 20]","[1, 27]","[15, 29]",
vid_31_frame_1620_1.jpg,N/A,"[19, 4]","[12, 26]","[29, 24]","[9, 45]","[33, 43]","[8, 55]","[35, 53]",
vid_2_frame_22374_2.jpg,N/A,"[15, 1]","[9, 15]","[20, 16]","[5, 24]","[19, 26]","[2, 37]","[20, 38]",
vid_18_frame_2210_3.jpg,N/A,"[6, 5]","[4, 12]","[8, 11]","[4, 16]","[9, 16]","[3, 21]","[10, 21]",
vid_2_frame_38808_0.jpg,N/A,"[13, 2]","[10, 14]","[19, 13]","[10, 22]","[21, 22]","[7, 31]","[23, 30]",
vid_30_frame_1230_3.jpg,N/A,"[14, 3]","[11, 14]","[18, 14]","[10, 21]","[19, 21]","[8, 29]","[21, 28]",
vid_2_frame_36323_1.jpg,N/A,"[23, 2]","[16, 23]","[31, 23]","[13, 40]","[36, 37]","[10, 56]","[38, 52]",
vid_2_frame_22482_1.jpg,N/A,"[4, 1]","[3, 9]","[8, 8]","[4, 15]","[11, 14]","[2, 23]","[15, 21]",
vid_2_frame_26079_1.jpg,N/A,"[12, 0]","[8, 10]","[17, 10]","[7, 16]","[18, 17]","[5, 24]","[18, 24]",
vid_2_frame_19138_1.jpg,N/A,"[40, 4]","[28, 29]","[48, 30]","[24, 50]","[50, 52]","[17, 71]","[52, 76]",
vid_31_frame_2379_2.jpg,N/A,"[13, 0]","[7, 16]","[20, 15]","[6, 27]","[22, 26]","[5, 33]","[24, 32]",
vid_2_frame_20433_3.jpg,N/A,"[10, 1]","[7, 10]","[13, 10]","[5, 17]","[14, 17]","[3, 25]","[15, 25]",
vid_2_frame_1815_3.jpg,N/A,"[10, 1]","[4, 13]","[14, 13]","[3, 22]","[15, 22]","[2, 31]","[15, 32]",
vid_2_frame_4303_1.jpg,N/A,"[25, 1]","[18, 23]","[35, 25]","[16, 41]","[37, 43]","[9, 59]","[41, 59]",
vid_18_frame_2362_9.jpg,N/A,"[10, 5]","[8, 17]","[18, 16]","[7, 28]","[20, 26]","[7, 37]","[22, 35]",
vid_31_frame_1619_1.jpg,N/A,"[16, 1]","[9, 21]","[24, 20]","[7, 39]","[29, 37]","[6, 48]","[32, 46]",
vid_31_frame_1778_5.jpg,N/A,"[14, 2]","[8, 11]","[16, 12]","[6, 19]","[16, 21]","[3, 24]","[17, 27]",
vid_2_frame_36454_2.jpg,N/A,"[41, 5]","[26, 43]","[53, 49]","[16, 69]","[54, 76]","[6, 109]","[61, 119]",
vid_2_frame_21359_1.jpg,N/A,"[49, 5]","[33, 38]","[56, 40]","[28, 63]","[57, 67]","[18, 89]","[60, 95]",
vid_5_frame_1340_3.jpg,N/A,"[27, 1]","[17, 18]","[32, 20]","[12, 34]","[34, 38]","[10, 53]","[35, 52]",
vid_2_frame_34527_3.jpg,N/A,"[13, 4]","[9, 19]","[20, 18]","[8, 32]","[23, 30]","[5, 44]","[25, 43]",
vid_2_frame_9790_1.jpg,N/A,"[23, 3]","[17, 44]","[43, 33]","[20, 76]","[54, 63]","[22, 102]","[68, 83]",
vid_31_frame_1783_3.jpg,N/A,"[17, 0]","[10, 11]","[21, 12]","[6, 21]","[21, 23]","[5, 27]","[20, 30]",
vid_6_frame_22256_1.jpg,N/A,"[11, 1]","[7, 18]","[20, 15]","[7, 33]","[25, 30]","[6, 48]","[30, 45]",
vid_2_frame_10209_0.jpg,N/A,"[29, 4]","[23, 38]","[44, 33]","[21, 64]","[52, 56]","[20, 96]","[60, 78]",
vid_2_frame_19121_0.jpg,N/A,"[35, 4]","[26, 26]","[43, 28]","[23, 44]","[43, 47]","[11, 68]","[45, 71]",
vid_18_frame_2277_0.jpg,N/A,"[7, 3]","[5, 16]","[16, 13]","[6, 30]","[22, 25]","[7, 45]","[28, 38]",
vid_18_frame_2353_4.jpg,N/A,"[18, 3]","[13, 16]","[23, 16]","[11, 28]","[27, 27]","[9, 39]","[30, 38]",
vid_18_frame_2096_0.jpg,N/A,"[12, 2]","[6, 19]","[19, 17]","[6, 32]","[23, 30]","[5, 49]","[29, 43]",
vid_2_frame_14572_0.jpg,N/A,"[35, 3]","[26, 23]","[43, 25]","[20, 42]","[43, 47]","[14, 62]","[43, 66]",
vid_31_frame_2344_2.jpg,N/A,"[22, 2]","[13, 17]","[25, 19]","[9, 29]","[25, 32]","[5, 35]","[25, 39]",
vid_31_frame_1812_1.jpg,N/A,"[32, 3]","[20, 20]","[38, 24]","[13, 36]","[39, 41]","[11, 45]","[38, 51]",
vid_31_frame_1834_2.jpg,N/A,"[6, 1]","[3, 11]","[11, 10]","[2, 20]","[13, 19]","[3, 26]","[15, 23]",
vid_2_frame_9792_3.jpg,N/A,"[11, 2]","[7, 23]","[19, 20]","[7, 38]","[23, 34]","[8, 51]","[29, 46]",
vid_2_frame_8118_1.jpg,N/A,"[11, 3]","[6, 15]","[16, 15]","[7, 26]","[19, 26]","[4, 38]","[23, 37]",
vid_2_frame_26468_1.jpg,N/A,"[17, 3]","[10, 22]","[22, 21]","[10, 37]","[28, 35]","[7, 52]","[32, 50]",
vid_2_frame_16816_1.jpg,N/A,"[14, 6]","[10, 18]","[18, 18]","[7, 27]","[19, 27]","[7, 36]","[21, 35]",
vid_18_frame_2216_1.jpg,N/A,"[12, 3]","[9, 18]","[19, 16]","[9, 29]","[23, 27]","[8, 41]","[27, 37]",
vid_18_frame_2216_0.jpg,N/A,"[16, 8]","[13, 37]","[33, 31]","[15, 59]","[42, 50]","[16, 82]","[53, 71]",
vid_2_frame_16816_0.jpg,N/A,"[26, 3]","[19, 28]","[37, 25]","[19, 50]","[42, 44]","[15, 74]","[50, 64]",
vid_2_frame_2774_2.jpg,N/A,"[8, 1]","[4, 10]","[11, 10]","[3, 17]","[12, 16]","[1, 25]","[14, 24]",
vid_18_frame_2362_11.jpg,N/A,"[5, 2]","[2, 9]","[10, 9]","[2, 17]","[11, 16]","[2, 24]","[13, 24]",
vid_30_frame_1172_0.jpg,N/A,"[15, 2]","[10, 14]","[19, 14]","[7, 23]","[19, 24]","[4, 34]","[19, 34]",
